No,Soal,A,B,C,D,Jawaban
1,"Apabila grafik dari suatu fungsi linear menunjukkan arah kenaikan dari sisi kiri menuju sisi kanan pada bidang koordinat Kartesius, maka dapat disimpulkan bahwa tingkat perubahan (gradien) dari fungsi tersebut adalah...",Nol,Negatif,Positif,Tidak diketahui,C
2,"Grafik dari fungsi linear \(y = -2x + 5\) menunjukkan penurunan dari sisi kiri ke sisi kanan. Hal ini mengindikasikan bahwa...",Tingkat perubahan positif,Titik potong sumbu x sama dengan 2,Tingkat perubahan negatif,Grafik tidak linier,C
3,"Sebuah garis melalui dua titik, yaitu \((0,2)\) dan \((2,6)\). Maka, tingkat perubahan nilai fungsi (gradien) dari garis tersebut adalah...",1,2,3,4,B
4,"Jika grafik dari suatu fungsi linear berbentuk garis horizontal, maka tingkat perubahan nilai fungsi tersebut adalah...",Positif,Negatif,Nol,Tak hingga,C
5,"Semakin besar nilai tingkat perubahan (gradien) dari suatu fungsi linear, maka garis pada grafik akan...",Semakin mendatar,Semakin curam,Semakin datar ke bawah,Tidak berubah,B
6,"Apabila grafik dari suatu fungsi linear menunjukkan arah kenaikan dari sisi kiri ke sisi kanan, maka tingkat perubahan (gradien) dari fungsi tersebut adalah...",Nol,Negatif,Positif,Tidak tentu,C
7,"Grafik dari fungsi \(y = 2x + 1\) memiliki tingkat perubahan (gradien) sebesar...",1,2,3,0,B
8,"Garis grafik yang datar dan sejajar dengan sumbu x menunjukkan bahwa tingkat perubahannya adalah...",Nol,Positif,Negatif,Tak hingga,A
9,"Jika grafik suatu fungsi linear menunjukkan penurunan dari sisi kiri ke sisi kanan, maka tingkat perubahan nilai fungsinya adalah...",Tetap,Nol,Positif,Negatif,D
10,"Pada grafik fungsi \(y = -3x + 4\), arah kemiringan garis adalah...",Naik dari kiri ke kanan,Turun dari kiri ke kanan,Datar,Vertikal,B
11,"Jika garis pada grafik semakin curam ke atas, maka nilai tingkat perubahan (gradien) menjadi...",Lebih kecil,Negatif,Tetap,Lebih besar,D
12,"Grafik dari fungsi \(y = x\) dan \(y = 2x\) keduanya menunjukkan arah kenaikan dari sisi kiri ke sisi kanan. Grafik yang lebih curam adalah...",\(y = x\),\(y = 2x\),Keduanya sama,Tidak bisa ditentukan,B
13,"Garis fungsi linear memiliki tingkat perubahan (gradien) \(m = 0\). Maka bentuk grafiknya adalah...",Garis mendatar,Garis miring ke atas,Garis miring ke bawah,Garis vertikal,A
14,"Fungsi dengan tingkat perubahan negatif akan menghasilkan grafik yang...",Mendatar,Naik dari kiri ke kanan,Turun dari kiri ke kanan,Melengkung,C
15,"Semakin besar nilai tingkat perubahan positif pada fungsi linear, maka grafiknya akan...",Semakin datar,Semakin curam naik,Semakin turun,Tidak berubah,B
16,"Langkah pertama yang dilakukan untuk menggambar grafik dari fungsi linear \(y = 2x + 1\) adalah...",Menentukan titik potong dengan sumbu x,Menentukan dua titik pada grafik,Menjumlahkan koefisien,Menentukan luas grafik,B
